audio_id,filename,actual_class,python_pred,python_conf,python_all_conf,second_model_pred,second_model_conf,gtm_pred,gtm_conf,gtm_all_conf,class_match,top_class_conf_diff,python_top_two_margin,gtm_top_two_margin,audio_quality,severity,alert_status,manual_review,final_decision,python_correct,gtm_correct,disagreement_reason
SS00007,SS00007_4a18f3f8.wav,animal_sound,gunshot,47.2,"{""aggression"": 3.6, ""alarm_siren"": 0.97, ""animal_sound"": 10.53, ""background_noise"": 7.67, ""glass_breaking"": 7.9, ""gunshot"": 47.2, ""machinery_fault"": 1.01, ""panic_scream"": 0.79, ""person_asking_for_help"": 18.33, ""vehicle_horn"": 2.0}",gunshot,35.75,NOT AVAILABLE,,NOT AVAILABLE,yes,11.45,28.87,,Good,Critical,None,yes,gunshot,no,N/A,
SS00013,SS00013_d2dd3a33.wav,background_noise,background_noise,96.47,"{""aggression"": 1.31, ""alarm_siren"": 0.0, ""animal_sound"": 0.3, ""background_noise"": 96.47, ""glass_breaking"": 1.5, ""gunshot"": 0.01, ""machinery_fault"": 0.07, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.29, ""vehicle_horn"": 0.03}",background_noise,40.75,NOT AVAILABLE,,NOT AVAILABLE,yes,55.72,94.97,,Poor,Informational,None,yes,background_noise,yes,N/A,
SS00018,SS00018_73e2dd5e.wav,background_noise,background_noise,98.11,"{""aggression"": 0.07, ""alarm_siren"": 0.02, ""animal_sound"": 0.23, ""background_noise"": 98.11, ""glass_breaking"": 0.01, ""gunshot"": 0.01, ""machinery_fault"": 0.62, ""panic_scream"": 0.02, ""person_asking_for_help"": 0.21, ""vehicle_horn"": 0.69}",background_noise,70.75,NOT AVAILABLE,,NOT AVAILABLE,yes,27.36,97.42,,Poor,Informational,None,yes,background_noise,yes,N/A,
SS00025,SS00025_3d278bc2.wav,background_noise,background_noise,96.1,"{""aggression"": 2.24, ""alarm_siren"": 0.0, ""animal_sound"": 0.07, ""background_noise"": 96.1, ""glass_breaking"": 1.25, ""gunshot"": 0.0, ""machinery_fault"": 0.18, ""panic_scream"": 0.0, ""person_asking_for_help"": 0.1, ""vehicle_horn"": 0.05}",background_noise,59.75,NOT AVAILABLE,,NOT AVAILABLE,yes,36.35,93.86,,Acceptable,Informational,None,no,background_noise,yes,N/A,
SS00026,SS00026_d732acd2.wav,background_noise,machinery_fault,71.15,"{""aggression"": 7.29, ""alarm_siren"": 0.92, ""animal_sound"": 1.44, ""background_noise"": 16.71, ""glass_breaking"": 0.11, ""gunshot"": 0.11, ""machinery_fault"": 71.15, ""panic_scream"": 0.14, ""person_asking_for_help"": 1.04, ""vehicle_horn"": 1.08}",background_noise,38.5,NOT AVAILABLE,,NOT AVAILABLE,no,32.65,54.44,,Poor,High,None,yes,machinery_fault,no,N/A,Python=machinery_fault vs model2=background_noise; conf diff 32.65
SS00030,SS00030_e6a90f13.wav,background_noise,background_noise,90.37,"{""aggression"": 2.08, ""alarm_siren"": 0.05, ""animal_sound"": 3.9, ""background_noise"": 90.37, ""glass_breaking"": 0.55, ""gunshot"": 0.12, ""machinery_fault"": 2.17, ""panic_scream"": 0.04, ""person_asking_for_help"": 0.15, ""vehicle_horn"": 0.57}",background_noise,57.25,NOT AVAILABLE,,NOT AVAILABLE,yes,33.12,86.47,,Acceptable,Informational,None,no,background_noise,yes,N/A,
SS00037,SS00037_7fc23f01.wav,animal_sound,animal_sound,97.95,"{""aggression"": 0.02, ""alarm_siren"": 0.16, ""animal_sound"": 97.95, ""background_noise"": 0.08, ""glass_breaking"": 0.03, ""gunshot"": 0.0, ""machinery_fault"": 0.1, ""panic_scream"": 0.0, ""person_asking_for_help"": 1.66, ""vehicle_horn"": 0.01}",animal_sound,80.75,NOT AVAILABLE,,NOT AVAILABLE,yes,17.2,96.29,,Good,Low,None,no,animal_sound,yes,N/A,
SS00038,SS00038_3fadff6b.wav,animal_sound,animal_sound,71.39,"{""aggression"": 0.13, ""alarm_siren"": 0.36, ""animal_sound"": 71.39, ""background_noise"": 2.39, ""glass_breaking"": 0.1, ""gunshot"": 0.0, ""machinery_fault"": 0.1, ""panic_scream"": 0.01, ""person_asking_for_help"": 25.37, ""vehicle_horn"": 0.15}",animal_sound,58.75,NOT AVAILABLE,,NOT AVAILABLE,yes,12.64,46.02,,Good,Low,None,no,animal_sound,yes,N/A,
SS00042,SS00042_d10dfa62.wav,animal_sound,person_asking_for_help,77.86,"{""aggression"": 2.51, ""alarm_siren"": 0.26, ""animal_sound"": 8.62, ""background_noise"": 4.07, ""glass_breaking"": 2.85, ""gunshot"": 0.84, ""machinery_fault"": 0.44, ""panic_scream"": 0.15, ""person_asking_for_help"": 77.86, ""vehicle_horn"": 2.4}",person_asking_for_help,25.5,NOT AVAILABLE,,NOT AVAILABLE,yes,52.36,69.24,,Good,Critical,Active,no,person_asking_for_help,no,N/A,
SS00043,SS00043_8fd98d50.wav,animal_sound,animal_sound,95.3,"{""aggression"": 0.04, ""alarm_siren"": 1.18, ""animal_sound"": 95.3, ""background_noise"": 0.02, ""glass_breaking"": 0.03, ""gunshot"": 0.01, ""machinery_fault"": 0.1, ""panic_scream"": 0.01, ""person_asking_for_help"": 2.18, ""vehicle_horn"": 1.14}",animal_sound,70.25,NOT AVAILABLE,,NOT AVAILABLE,yes,25.05,93.12,,Good,Low,None,no,animal_sound,yes,N/A,
